customer_id,tenure_months,monthly_charges,support_calls,contract_type,churn
CUST0059,18,89.12,5,Monthly,1
CUST0060,44,88.32,4,Monthly,0
CUST0061,34,102.26,5,Annual,1
CUST0062,62,72.97,7,Annual,1
CUST0063,14,101.51,6,Annual,1
CUST0064,48,69.81,4,Annual,0
CUST0065,15,26.72,9,Annual,0
CUST0066,72,60.52,5,Monthly,0
CUST0067,62,69.75,3,Annual,0
CUST0068,40,92.02,8,Monthly,1
CUST0069,53,30.66,3,Annual,0
CUST0070,24,34.0,0,Annual,0
CUST0071,26,46.37,6,Monthly,0
CUST0072,60,46.65,6,Monthly,0
CUST0073,41,93.22,3,Annual,0
CUST0074,29,45.07,2,Annual,1
CUST0075,15,83.31,7,Annual,0
CUST0076,45,69.43,4,Annual,0
CUST0077,65,77.33,9,Monthly,0
CUST0078,71,103.81,6,Annual,1
CUST0079,9,60.44,3,Monthly,1
CUST0080,1,97.09,3,Annual,0
CUST0081,8,62.2,7,Monthly,1
CUST0082,63,55.39,7,Monthly,0
CUST0083,11,115.86,1,Annual,1
CUST0084,8,38.44,1,Monthly,1
CUST0085,35,29.03,2,Annual,1
CUST0086,35,97.1,2,Monthly,1
CUST0087,33,26.82,0,Annual,0
CUST0088,5,103.71,2,Monthly,1
CUST0089,41,63.72,5,Annual,0
CUST0090,28,111.55,7,Annual,1
CUST0091,7,92.15,9,Monthly,1
CUST0092,72,81.04,5,Monthly,1
CUST0093,12,114.93,4,Monthly,1
CUST0094,34,59.66,3,Monthly,0
CUST0095,33,115.41,2,Annual,0
CUST0096,48,33.5,3,Monthly,1
CUST0097,23,68.38,6,Annual,0
CUST0098,62,46.99,0,Monthly,0
CUST0099,37,73.98,6,Annual,0
CUST0100,44,36.2,0,Annual,0
CUST0101,35,104.15,1,Annual,1
CUST0102,65,104.64,3,Annual,0
CUST0103,47,115.52,0,Monthly,0
CUST0104,3,35.47,8,Monthly,1
CUST0105,1,82.33,5,Annual,1
CUST0106,5,67.42,0,Monthly,0
CUST0107,14,54.44,0,Monthly,0
CUST0108,27,55.15,5,Annual,0
CUST0109,9,61.28,3,Monthly,0
CUST0110,15,90.49,3,Monthly,1
CUST0111,42,79.83,5,Monthly,1
CUST0112,51,65.97,6,Annual,1
CUST0113,63,27.59,8,Monthly,1
CUST0114,52,27.78,9,Annual,0
CUST0115,4,20.23,4,Monthly,1
CUST0116,23,116.77,8,Monthly,0
CUST0117,15,20.53,3,Monthly,0
CUST0118,43,30.31,9,Annual,0
CUST0119,29,51.46,1,Annual,1
CUST0120,36,100.74,2,Monthly,1
CUST0121,13,116.21,0,Annual,0
CUST0122,32,99.0,5,Monthly,1
CUST0123,71,89.06,5,Annual,1
CUST0124,59,72.13,0,Annual,0
CUST0125,28,28.67,2,Monthly,1
CUST0126,66,115.82,4,Monthly,0
CUST0127,42,95.84,2,Monthly,0
CUST0128,45,83.89,9,Monthly,0
CUST0129,62,95.9,2,Annual,0
CUST0130,57,92.41,9,Annual,1
CUST0131,6,83.72,2,Annual,0
CUST0132,28,118.06,4,Monthly,0
CUST0133,28,110.34,4,Monthly,1
CUST0134,44,84.67,3,Annual,0
CUST0135,30,89.32,0,Monthly,0
CUST0136,62,25.16,4,Annual,0
CUST0137,62,86.99,9,Annual,1
CUST0138,1,24.42,4,Annual,1
CUST0139,27,78.83,3,Annual,0
CUST0140,62,119.94,5,Annual,1
CUST0141,3,75.58,9,Monthly,1
CUST0142,70,67.32,3,Monthly,0
CUST0143,72,51.29,6,Monthly,0
CUST0144,27,32.05,6,Annual,0
CUST0145,9,93.1,1,Annual,1
CUST0146,62,39.26,2,Annual,0
CUST0147,37,31.53,0,Annual,0
CUST0148,51,62.18,7,Monthly,1
CUST0149,44,99.53,8,Monthly,0
CUST0150,24,94.51,3,Annual,0
CUST0151,59,25.49,5,Annual,0
CUST0152,32,65.51,8,Annual,1
CUST0153,52,72.24,5,Monthly,0
CUST0154,62,84.45,8,Monthly,1
CUST0155,58,85.02,3,Monthly,1
CUST0156,52,56.47,7,Annual,1
CUST0157,12,76.07,8,Annual,0
CUST0158,39,68.11,3,Monthly,0
CUST0159,2,108.5,4,Annual,0
CUST0160,3,73.03,7,Monthly,1
CUST0161,56,64.1,9,Annual,1
CUST0162,59,60.45,5,Monthly,1
CUST0163,2,77.24,6,Annual,0
CUST0164,2,100.4,2,Monthly,1
CUST0165,54,73.84,6,Monthly,0
CUST0166,1,86.17,7,Monthly,1
CUST0167,19,93.79,9,Monthly,1
CUST0168,2,72.02,5,Monthly,1
CUST0169,53,62.68,9,Monthly,0
CUST0170,44,107.67,8,Annual,1
CUST0171,32,61.75,5,Annual,1
CUST0172,70,66.19,8,Annual,1
CUST0173,32,119.03,3,Monthly,1
CUST0174,68,20.02,7,Monthly,1
CUST0175,55,38.55,3,Annual,0
CUST0176,56,58.4,1,Monthly,0
CUST0177,17,113.26,9,Monthly,0
CUST0178,38,27.0,8,Monthly,1
CUST0179,24,20.95,4,Monthly,0
CUST0180,69,25.27,3,Monthly,0
CUST0181,70,28.85,1,Annual,0
CUST0182,11,23.76,0,Annual,1
CUST0183,16,67.98,6,Annual,0
CUST0184,59,78.08,5,Annual,0
CUST0185,70,47.17,1,Annual,0
CUST0186,3,59.83,7,Monthly,1
CUST0187,20,29.17,3,Monthly,0
CUST0188,59,53.64,7,Monthly,0
CUST0189,36,72.25,6,Monthly,1
CUST0190,19,93.23,4,Annual,0
CUST0191,67,20.33,9,Annual,0
CUST0192,19,66.73,9,Annual,0
CUST0193,20,49.7,7,Monthly,1
CUST0194,71,105.28,8,Annual,1
CUST0195,52,91.56,4,Monthly,1
CUST0196,33,78.91,9,Annual,1
CUST0197,40,47.73,4,Annual,0
CUST0198,39,111.03,1,Monthly,0
CUST0199,1,24.51,4,Monthly,0
CUST0200,11,30.95,2,Annual,0
CUST0201,57,59.16,6,Annual,1
CUST0202,50,32.44,9,Monthly,1
CUST0203,23,115.64,4,Annual,0
CUST0204,31,99.8,7,Annual,1
CUST0205,42,45.9,0,Monthly,0
CUST0206,7,78.86,2,Annual,1
CUST0207,16,118.23,2,Monthly,0
CUST0208,60,108.42,8,Annual,0
CUST0209,2,80.08,4,Monthly,1
CUST0210,1,110.37,8,Annual,1
CUST0211,48,118.92,8,Monthly,0
CUST0212,12,94.34,0,Annual,1
CUST0213,69,26.5,1,Monthly,1
CUST0214,37,60.16,4,Annual,0
CUST0215,32,103.78,3,Annual,0
CUST0216,9,43.06,9,Annual,0
CUST0217,19,103.06,8,Annual,1
CUST0218,48,32.03,6,Annual,0
CUST0219,3,24.69,5,Annual,1
CUST0220,20,58.41,6,Annual,0
CUST0221,24,23.67,0,Annual,0
CUST0222,54,115.73,0,Annual,1
CUST0223,33,102.62,7,Monthly,1
CUST0224,24,100.08,1,Monthly,1
CUST0225,72,82.98,9,Annual,1
CUST0226,36,41.63,8,Monthly,1
CUST0227,38,71.83,6,Annual,0
CUST0228,25,79.73,5,Annual,1
CUST0229,18,72.5,0,Monthly,1
CUST0230,66,46.02,0,Annual,0
CUST0231,54,71.52,1,Annual,1
CUST0232,35,69.12,5,Monthly,1
CUST0233,61,119.63,5,Monthly,0
CUST0234,41,109.74,1,Annual,1
CUST0235,33,66.34,0,Monthly,0
CUST0236,68,82.29,9,Monthly,1
CUST0237,33,94.79,4,Annual,0
CUST0238,14,23.49,4,Monthly,0
CUST0239,21,109.49,1,Monthly,1
CUST0240,48,106.01,5,Annual,1
CUST0241,20,65.74,8,Monthly,1
CUST0242,8,59.12,1,Monthly,0
CUST0243,7,47.3,9,Annual,0
CUST0244,67,67.67,1,Annual,1
CUST0245,17,24.44,2,Annual,0
CUST0246,33,105.22,6,Monthly,1
CUST0247,48,23.54,5,Annual,0
CUST0248,59,52.91,7,Annual,0
CUST0249,22,113.16,7,Monthly,1
CUST0250,30,93.52,5,Annual,1
CUST0251,38,48.14,9,Annual,1
CUST0252,51,45.26,2,Annual,0
CUST0253,54,20.51,2,Annual,0
CUST0254,8,89.57,0,Monthly,1
CUST0255,27,24.88,6,Annual,0
CUST0256,27,73.26,4,Annual,0
CUST0257,21,116.21,3,Monthly,1
CUST0258,30,30.95,9,Annual,0
CUST0259,28,109.45,3,Monthly,1
CUST0260,64,119.15,3,Monthly,0
CUST0261,69,26.15,5,Monthly,1
CUST0262,61,108.29,7,Annual,0
CUST0263,48,71.61,7,Monthly,1
CUST0264,19,110.65,4,Monthly,1
CUST0265,4,77.13,5,Monthly,0
CUST0266,35,86.21,3,Annual,0
CUST0267,64,74.38,8,Annual,0
CUST0268,49,106.45,7,Annual,0
CUST0269,17,93.39,9,Annual,0
CUST0270,44,72.13,9,Annual,0
CUST0271,30,106.82,0,Annual,1
CUST0272,46,44.53,1,Annual,0
CUST0273,6,35.73,8,Monthly,1
CUST0274,37,36.04,7,Monthly,1
CUST0275,24,53.4,2,Monthly,1
CUST0276,46,43.87,7,Monthly,1
CUST0277,53,113.01,0,Annual,0
CUST0278,60,30.58,9,Monthly,1
CUST0279,63,89.9,3,Monthly,0
CUST0280,32,38.92,2,Monthly,1
CUST0281,33,108.16,5,Monthly,0
CUST0282,67,116.13,6,Annual,0
CUST0283,18,66.55,3,Annual,0
CUST0284,25,107.91,6,Annual,0
CUST0285,54,20.51,8,Monthly,1
CUST0286,58,101.99,1,Annual,0
CUST0287,67,42.86,2,Monthly,0
CUST0288,46,110.87,4,Annual,1
CUST0289,24,20.11,2,Annual,0
CUST0290,32,75.62,7,Annual,0
CUST0291,47,95.66,9,Annual,0
CUST0292,23,45.87,7,Annual,0
CUST0293,66,39.31,7,Monthly,1
CUST0294,27,28.41,8,Annual,1
CUST0295,2,52.64,3,Monthly,0
CUST0296,17,75.98,4,Monthly,0
CUST0297,33,31.58,4,Monthly,0
CUST0298,9,57.67,7,Monthly,1
CUST0299,43,20.91,6,Monthly,1
CUST0300,48,101.87,8,Annual,0
CUST0301,39,32.84,7,Annual,0
CUST0302,42,48.33,1,Annual,0
CUST0303,26,21.84,9,Annual,0
CUST0304,50,63.22,3,Monthly,0
CUST0305,25,104.01,5,Annual,0
CUST0306,24,59.22,1,Annual,0
CUST0307,13,37.95,6,Monthly,0
CUST0308,60,95.37,2,Monthly,1
CUST0309,7,98.88,2,Annual,0
CUST0310,57,37.38,1,Annual,0
CUST0311,36,97.09,7,Monthly,0
CUST0312,45,114.73,5,Annual,0
CUST0313,20,36.64,0,Annual,1
CUST0314,65,97.1,0,Annual,0
CUST0315,8,90.86,6,Annual,1
CUST0316,16,67.36,7,Monthly,0
CUST0317,14,25.79,4,Monthly,0
CUST0318,15,27.47,4,Monthly,0
CUST0319,66,105.24,3,Annual,0
CUST0320,32,119.01,5,Annual,0
CUST0321,63,87.61,5,Annual,0
CUST0322,51,64.6,2,Annual,0
CUST0323,25,84.76,8,Annual,1
CUST0324,58,79.44,6,Monthly,0
CUST0325,63,58.36,0,Annual,0
CUST0326,62,26.56,6,Annual,0
CUST0327,22,102.15,4,Monthly,0
CUST0328,58,57.18,4,Annual,0
CUST0329,58,101.88,1,Monthly,1
CUST0330,49,45.25,3,Monthly,1
CUST0331,52,20.1,5,Monthly,1
CUST0332,42,35.89,9,Monthly,0
CUST0333,70,66.85,6,Monthly,1
CUST0334,15,114.43,4,Annual,1
CUST0335,54,30.22,8,Monthly,0
CUST0336,60,105.42,2,Monthly,1
CUST0337,8,72.7,0,Annual,0
CUST0338,53,102.59,3,Annual,1
CUST0339,60,49.84,8,Monthly,1
CUST0340,5,103.99,3,Annual,1
CUST0341,68,97.28,1,Annual,1
CUST0342,6,43.01,9,Monthly,1
CUST0343,47,33.13,4,Monthly,1
CUST0344,55,106.81,2,Annual,0
CUST0345,40,116.32,8,Monthly,0
CUST0346,52,23.13,3,Monthly,0
CUST0347,16,93.13,5,Annual,1
CUST0348,13,110.95,1,Monthly,0
CUST0349,30,105.74,5,Monthly,0
CUST0350,19,116.45,2,Monthly,1
CUST0351,17,96.01,8,Monthly,0
CUST0352,63,64.23,1,Monthly,1
CUST0353,19,51.2,8,Annual,0
CUST0354,58,52.07,4,Annual,0
CUST0355,55,92.44,7,Monthly,1
CUST0356,62,94.58,1,Annual,0
CUST0357,23,40.04,5,Monthly,0
CUST0358,9,106.81,2,Monthly,1
CUST0359,12,91.49,9,Monthly,1
CUST0360,1,76.28,4,Monthly,1
CUST0361,58,67.15,7,Monthly,0
CUST0362,1,74.32,9,Annual,1
CUST0363,34,35.92,0,Annual,1
CUST0364,48,40.37,4,Monthly,1
CUST0365,1,29.12,2,Annual,1
CUST0366,16,35.37,3,Monthly,0
CUST0367,61,65.37,1,Annual,0
CUST0368,64,73.04,8,Monthly,1
CUST0369,63,21.79,2,Annual,0
CUST0370,69,99.68,1,Monthly,0
CUST0371,22,49.42,9,Monthly,0
CUST0372,67,111.18,8,Annual,1
CUST0373,26,116.75,6,Annual,1
CUST0374,16,38.55,5,Monthly,0
CUST0375,51,66.21,0,Annual,0
CUST0376,57,20.12,4,Monthly,0
CUST0377,29,79.83,2,Annual,0
CUST0378,69,80.73,0,Annual,1
CUST0379,47,44.75,3,Monthly,0
CUST0380,62,75.84,1,Annual,0
CUST0381,69,42.55,1,Annual,1
CUST0382,16,36.08,2,Monthly,0
CUST0383,48,85.15,7,Annual,1
CUST0384,39,52.59,7,Monthly,0
CUST0385,33,79.03,6,Monthly,0
CUST0386,23,63.32,5,Monthly,1
CUST0387,10,118.44,8,Monthly,1
CUST0388,69,34.96,3,Monthly,0
CUST0389,34,66.46,0,Annual,0
CUST0390,52,88.05,7,Monthly,1
CUST0391,10,59.55,6,Monthly,1
CUST0392,19,117.47,6,Annual,0
CUST0393,58,92.19,2,Annual,0
CUST0394,1,85.7,3,Annual,1
CUST0395,69,95.71,9,Monthly,1
CUST0396,4,115.26,8,Monthly,1
CUST0397,16,110.78,5,Monthly,1
CUST0398,24,92.43,4,Annual,1
CUST0399,2,94.92,2,Monthly,1
CUST0400,32,34.59,8,Annual,0
CUST0401,24,30.28,4,Monthly,0
CUST0402,12,77.09,4,Annual,0
CUST0403,50,21.84,3,Monthly,0
CUST0404,35,68.24,3,Monthly,0
CUST0405,33,41.03,0,Monthly,1
CUST0406,33,54.6,6,Annual,1
CUST0407,61,97.58,8,Annual,1
CUST0408,51,114.12,2,Monthly,1
CUST0409,43,27.24,1,Monthly,1
CUST0410,12,73.42,2,Monthly,1
CUST0411,67,108.25,0,Annual,1
CUST0412,65,28.25,5,Monthly,0
CUST0413,33,102.45,6,Monthly,1
CUST0414,40,55.78,1,Monthly,0
CUST0415,43,52.21,7,Monthly,1
CUST0416,44,117.75,5,Annual,1
CUST0417,29,40.09,3,Annual,0
CUST0418,13,89.32,4,Monthly,1
CUST0419,12,102.14,7,Monthly,1
CUST0420,46,24.12,2,Annual,1
CUST0421,2,87.04,2,Annual,1
CUST0422,35,115.15,3,Monthly,0
CUST0423,8,32.42,0,Annual,0
CUST0424,26,109.62,8,Annual,0
CUST0425,34,79.48,7,Monthly,0
CUST0426,7,81.66,7,Annual,1
CUST0427,68,81.29,9,Annual,0
CUST0428,58,49.88,5,Monthly,0
CUST0429,29,113.52,6,Monthly,1
CUST0430,36,114.74,5,Annual,0
CUST0431,21,82.53,8,Monthly,1
CUST0432,36,98.34,2,Annual,0
CUST0433,10,81.23,2,Monthly,1
CUST0434,24,68.44,2,Annual,0
CUST0435,64,86.08,9,Monthly,1
CUST0436,49,75.3,2,Annual,0
CUST0437,36,79.75,8,Annual,0
CUST0438,24,98.38,3,Annual,0
CUST0439,23,68.09,6,Monthly,0
CUST0440,62,24.08,8,Monthly,0
CUST0441,37,36.4,6,Annual,0
CUST0442,12,63.86,8,Annual,0
CUST0443,55,92.48,2,Monthly,1
CUST0444,13,79.33,3,Monthly,0
CUST0445,23,85.03,7,Monthly,0
CUST0446,30,67.93,5,Monthly,1
CUST0447,17,81.57,4,Monthly,1
CUST0448,62,52.9,3,Monthly,0
CUST0449,13,67.02,7,Annual,0
CUST0450,59,94.43,0,Monthly,1
CUST0451,19,107.18,8,Annual,1
CUST0452,49,63.37,0,Monthly,0
CUST0453,12,24.37,7,Monthly,1
CUST0454,61,36.17,3,Annual,0
CUST0455,19,22.09,8,Annual,1
CUST0456,9,85.33,4,Monthly,1
CUST0457,71,53.23,2,Annual,0
CUST0458,28,74.25,8,Annual,0
CUST0459,52,69.33,8,Annual,0
CUST0460,16,28.15,3,Annual,1
CUST0461,69,60.33,3,Monthly,0
CUST0462,12,42.06,7,Annual,0
CUST0463,25,61.84,1,Monthly,0
CUST0464,52,40.36,8,Monthly,1
CUST0465,53,104.05,5,Monthly,0
CUST0466,23,37.42,8,Monthly,1
CUST0467,16,116.08,7,Annual,0
CUST0468,57,61.59,6,Annual,0
CUST0469,39,104.62,0,Monthly,0
CUST0470,53,82.88,2,Monthly,0
CUST0471,42,93.54,1,Monthly,0
CUST0472,58,96.77,4,Monthly,0
CUST0473,39,70.48,4,Annual,1
CUST0474,14,74.33,4,Monthly,0
CUST0475,5,71.4,3,Annual,0
CUST0476,35,78.81,4,Monthly,0
CUST0477,18,22.94,2,Monthly,0
CUST0478,9,59.55,0,Monthly,0
CUST0479,58,80.62,4,Monthly,0
CUST0480,17,79.77,8,Annual,0
CUST0481,7,99.3,8,Annual,1
CUST0482,46,85.5,3,Annual,0
CUST0483,13,119.21,2,Monthly,0
CUST0484,40,48.39,0,Monthly,0
CUST0485,42,55.92,1,Annual,0
CUST0486,9,58.38,7,Annual,0
CUST0487,50,66.58,0,Monthly,1
CUST0488,27,103.6,7,Monthly,1
CUST0489,66,43.58,6,Annual,1
CUST0490,5,97.6,7,Monthly,1
CUST0491,29,60.53,5,Monthly,0
CUST0492,37,80.19,8,Annual,1
CUST0493,38,83.25,2,Monthly,0
CUST0494,8,57.28,9,Annual,1
CUST0495,65,71.26,3,Monthly,0
CUST0496,17,61.3,5,Annual,1
CUST0497,71,26.91,7,Monthly,1
CUST0498,45,63.72,4,Annual,0
CUST0499,4,29.74,2,Annual,0
CUST0500,36,60.5,5,Annual,0
CUST0501,70,79.29,3,Annual,0
CUST0502,31,77.94,8,Monthly,0
CUST0503,19,86.26,2,Monthly,1
CUST0504,61,29.53,3,Annual,0
CUST0505,54,85.21,6,Monthly,1
CUST0506,39,51.21,6,Monthly,0
CUST0507,19,59.9,3,Monthly,0
CUST0508,39,105.8,5,Monthly,1
CUST0509,67,20.9,2,Monthly,1
CUST0510,45,78.84,5,Annual,0
CUST0511,13,79.87,1,Annual,0
CUST0512,58,59.67,7,Annual,0
CUST0513,20,43.7,1,Annual,0
CUST0514,72,43.47,6,Monthly,0
CUST0515,61,108.37,8,Monthly,0
CUST0516,39,64.2,0,Annual,0
CUST0517,1,53.09,7,Monthly,0
CUST0518,3,64.88,6,Monthly,1
CUST0519,62,86.94,5,Annual,0
CUST0520,63,34.58,5,Monthly,0
CUST0521,25,64.94,5,Annual,1
CUST0522,56,78.79,8,Annual,0
CUST0523,33,114.86,1,Monthly,1
CUST0524,38,45.25,0,Monthly,0
CUST0525,6,55.93,5,Annual,1
CUST0526,58,57.94,9,Annual,0
CUST0527,44,80.55,7,Monthly,0
CUST0528,45,55.67,2,Annual,0
CUST0529,32,73.35,9,Annual,1
CUST0530,45,98.18,0,Annual,0
CUST0531,61,90.54,8,Monthly,1
CUST0532,47,64.64,0,Annual,0
CUST0533,21,106.42,2,Monthly,1
CUST0534,36,75.81,7,Annual,1
CUST0535,19,73.99,2,Monthly,1
CUST0536,20,23.42,3,Annual,0
CUST0537,57,118.67,7,Monthly,1
CUST0538,18,32.3,0,Monthly,0
CUST0539,47,43.11,5,Monthly,0
CUST0540,49,25.17,0,Annual,0
CUST0541,14,84.0,0,Annual,1
CUST0542,15,42.47,7,Annual,1
CUST0543,31,38.0,3,Monthly,1
CUST0544,1,28.86,0,Annual,0
CUST0545,54,30.33,9,Monthly,0
CUST0546,3,78.47,6,Annual,0
CUST0547,16,88.82,4,Monthly,0
CUST0548,57,59.74,4,Monthly,1
CUST0549,12,67.99,0,Monthly,1
CUST0550,16,88.6,9,Annual,0
CUST0551,72,21.74,5,Annual,1
CUST0552,24,52.31,8,Annual,0
CUST0553,28,117.31,8,Monthly,1
CUST0554,8,78.01,7,Monthly,1
CUST0555,36,45.42,4,Annual,0
CUST0556,8,72.17,0,Annual,0
CUST0557,58,54.27,8,Annual,0
CUST0558,60,73.22,0,Monthly,1
CUST0559,50,32.57,7,Monthly,1
CUST0560,28,33.27,4,Monthly,0
CUST0561,41,34.35,2,Monthly,0
CUST0562,64,113.98,6,Monthly,0
CUST0563,27,93.29,6,Annual,1
CUST0564,63,36.24,8,Monthly,0
CUST0565,17,38.83,6,Monthly,0
CUST0566,33,93.08,2,Monthly,1
CUST0567,29,35.62,0,Monthly,0
CUST0568,13,43.46,7,Monthly,1
CUST0569,46,116.33,2,Annual,0
CUST0570,35,45.53,7,Monthly,1
CUST0571,6,86.16,7,Monthly,1
CUST0572,69,117.86,4,Monthly,0
CUST0573,47,57.43,0,Annual,0
CUST0574,25,21.75,9,Annual,1
CUST0575,66,44.41,6,Annual,1
CUST0576,10,103.09,9,Monthly,1
CUST0577,56,106.46,4,Annual,1
CUST0578,30,96.85,7,Monthly,0
CUST0579,5,31.31,8,Monthly,0
CUST0580,33,99.55,6,Annual,1
CUST0581,65,111.87,6,Monthly,1
CUST0582,18,80.06,0,Monthly,0
CUST0583,49,114.09,3,Monthly,1
CUST0584,11,102.68,1,Annual,1
CUST0585,26,86.7,1,Monthly,0
CUST0586,63,77.72,1,Monthly,1
CUST0587,59,54.86,3,Annual,1
CUST0588,27,35.93,0,Monthly,1
CUST0589,49,80.5,3,Monthly,0
CUST0590,33,51.81,1,Annual,0
CUST0591,1,106.64,4,Monthly,1
CUST0592,21,119.33,2,Monthly,0
CUST0593,55,95.24,7,Monthly,1
CUST0594,6,29.05,3,Monthly,1
CUST0595,69,48.87,0,Monthly,0
CUST0596,5,30.91,0,Annual,1
CUST0597,3,85.05,9,Annual,1
CUST0598,53,96.52,2,Annual,1
CUST0599,23,112.57,8,Annual,1
CUST0600,53,63.82,6,Monthly,0
CUST0601,37,110.14,1,Monthly,0
CUST0602,17,107.79,8,Monthly,1
CUST0603,1,51.72,9,Monthly,1
CUST0604,51,106.89,1,Monthly,0
CUST0605,45,57.57,2,Annual,0
CUST0606,4,49.69,9,Annual,1
CUST0607,62,84.91,1,Monthly,1
CUST0608,65,52.84,2,Monthly,1
CUST0609,32,83.02,5,Monthly,1
CUST0610,34,80.98,8,Annual,0
CUST0611,72,76.34,8,Monthly,1
CUST0612,39,58.04,6,Monthly,1
CUST0613,26,74.85,2,Monthly,1
CUST0614,34,79.65,3,Annual,0
CUST0615,54,74.57,5,Monthly,1
CUST0616,3,64.44,4,Annual,1
CUST0617,50,21.47,1,Annual,0
CUST0618,12,78.71,5,Annual,0
CUST0619,65,36.84,2,Annual,0
CUST0620,54,84.26,7,Annual,0
CUST0621,5,95.93,1,Annual,0
CUST0622,57,70.04,0,Monthly,0
CUST0623,17,74.24,8,Monthly,1
CUST0624,47,115.15,2,Monthly,0
CUST0625,23,104.72,0,Annual,0
CUST0626,14,111.42,6,Monthly,0
CUST0627,66,101.38,9,Annual,1
CUST0628,51,30.89,4,Annual,0
CUST0629,38,34.9,4,Annual,0
CUST0630,64,72.66,0,Monthly,1
CUST0631,38,44.61,8,Annual,0
CUST0632,50,67.67,6,Annual,1
CUST0633,30,59.44,7,Monthly,1
CUST0634,51,74.94,8,Monthly,0
CUST0635,63,94.69,5,Annual,1
CUST0636,52,91.55,4,Annual,0
CUST0637,38,72.12,5,Monthly,0
CUST0638,30,102.24,1,Monthly,1
CUST0639,51,63.09,3,Monthly,1
CUST0640,5,109.67,2,Annual,0
CUST0641,29,27.13,6,Monthly,0
CUST0642,4,115.47,8,Monthly,0
CUST0643,10,85.47,4,Monthly,1
CUST0644,56,58.01,5,Annual,0
CUST0645,17,39.72,9,Monthly,0
CUST0646,17,67.92,1,Monthly,0
CUST0647,69,39.46,2,Monthly,0
CUST0648,34,36.63,2,Monthly,0
CUST0649,6,81.74,8,Monthly,1
CUST0650,53,72.31,6,Annual,0
CUST0651,66,87.01,7,Annual,1
CUST0652,43,112.96,9,Annual,0
CUST0653,23,73.23,8,Monthly,0
CUST0654,55,78.09,5,Annual,1
CUST0655,16,28.96,3,Annual,0
CUST0656,8,91.76,0,Annual,1
CUST0657,4,59.99,7,Monthly,1
CUST0658,4,117.67,6,Monthly,1
CUST0659,56,102.32,1,Annual,1
CUST0660,25,72.25,7,Annual,0
CUST0661,67,32.32,4,Monthly,0
CUST0662,67,105.94,6,Monthly,1
CUST0663,27,99.98,3,Annual,0
CUST0664,32,38.46,4,Monthly,0
CUST0665,50,49.53,7,Annual,1
CUST0666,61,99.34,0,Monthly,0
CUST0667,51,38.52,0,Annual,0
CUST0668,19,111.78,3,Annual,1
CUST0669,21,62.45,2,Monthly,1
CUST0670,5,28.7,9,Annual,1
CUST0671,42,101.57,1,Annual,0
CUST0672,61,57.35,2,Annual,0
CUST0673,22,72.65,0,Monthly,1
CUST0674,21,31.23,0,Monthly,0
CUST0675,70,20.26,5,Monthly,1
CUST0676,1,83.8,4,Annual,0
CUST0677,5,71.52,7,Monthly,1
CUST0678,12,79.35,1,Annual,0
CUST0679,46,99.37,3,Annual,0
